artist,song,duration_ms,explicit,year,popularity,valence,tempo,genre,genre_Folk/Acoustic,genre_R&B,genre_World/Traditional,genre_blues,genre_classical,genre_country,genre_easy listening,genre_hip hop,genre_jazz,genre_latin,genre_metal,genre_pop,genre_rock,genre_set(),genre_ordinal
Da Brat,What'chu Like (feat. Tyrese),221160,True,2000,53,0.817,99.974,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Moloko,The Time Is Now,318280,False,2000,54,0.546,127.962,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Moloko,The Time Is Now,318280,False,2000,54,0.546,127.962,Dance/Electronic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
Chicane,Don't Give Up,210786,False,2016,47,0.53,132.017,Dance/Electronic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
DMX,Party Up,268866,True,1999,71,0.53,201.936,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
DMX,Party Up,268866,True,1999,71,0.53,201.936,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Debelah Morgan,Dance with Me,220106,False,2000,49,0.74,115.005,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Debelah Morgan,Dance with Me,220106,False,2000,49,0.74,115.005,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Madonna,Music,225973,False,2000,58,0.871,119.854,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Ruff Endz,No More,242560,False,2000,52,0.927,97.004,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Britney Spears,Born to Make You Happy,243533,False,1999,58,0.686,84.11,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Montell Jordan,Get It On Tonite,276266,False,1999,59,0.868,99.008,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
Montell Jordan,Get It On Tonite,276266,False,1999,59,0.868,99.008,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Montell Jordan,Get It On Tonite,276266,False,1999,59,0.868,99.008,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Kylie Minogue,Spinning Around,207866,False,2000,55,0.631,120.043,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Kylie Minogue,Spinning Around,207866,False,2000,55,0.631,120.043,Dance/Electronic,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
JAY-Z,Big Pimpin',283066,True,1999,69,0.942,138.083,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
LeAnn Rimes,I Need You,229826,False,2001,61,0.564,144.705,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
LeAnn Rimes,I Need You,229826,False,2001,61,0.564,144.705,country,False,False,False,False,False,True,False,False,False,False,False,False,False,False,3
Avant,Separated,255600,False,2000,55,0.643,108.241,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Avant,Separated,255600,False,2000,55,0.643,108.241,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Enrique Iglesias,Be With You,219360,False,1999,54,0.542,121.996,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Enrique Iglesias,Be With You,219360,False,1999,54,0.542,121.996,latin,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7
Toni Braxton,He Wasn't Man Enough,261933,False,2000,66,0.766,88.009,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Toni Braxton,He Wasn't Man Enough,261933,False,2000,66,0.766,88.009,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,175893,False,2000,36,0.934,72.016,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,175893,False,2000,36,0.934,72.016,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,175893,False,2000,36,0.934,72.016,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Dr. Dre,Forgot About Dre,222293,True,1999,79,0.621,133.974,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
Missy Elliott,Hot Boyz,215466,True,1998,49,0.527,81.125,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
Missy Elliott,Hot Boyz,215466,True,1998,49,0.527,81.125,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Missy Elliott,Hot Boyz,215466,True,1998,49,0.527,81.125,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Backstreet Boys,Show Me the Meaning of Being Lonely,234960,False,1999,68,0.683,167.998,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Samantha Mumba,Gotta Tell You,201946,False,2018,43,0.774,109.981,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Mýa,Case Of The Ex (Whatcha Gonna Do),236906,False,2000,59,0.348,98.0,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Mýa,Case Of The Ex (Whatcha Gonna Do),236906,False,2000,59,0.348,98.0,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Mary Mary,Shackles (Praise You),198346,False,2000,64,0.8,100.46,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Next,Wifey,243666,False,2004,52,0.726,99.581,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
Next,Wifey,243666,False,2004,52,0.726,99.581,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Next,Wifey,243666,False,2004,52,0.726,99.581,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Janet Jackson,Doesn't Really Matter,265026,False,2001,47,0.801,99.316,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Janet Jackson,Doesn't Really Matter,265026,False,2001,47,0.801,99.316,R&B,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6
Ricky Martin,She Bangs - English Version,280626,False,2000,60,0.858,143.866,pop,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8
Ricky Martin,She Bangs - English Version,280626,False,2000,60,0.858,143.866,latin,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7
Jagged Edge,He Can't Love U,244053,False,2000,55,0.508,126.279,hip hop,False,False,False,False,False,False,False,True,False,False,False,False,False,False,11
